epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,16757.3,0.1863,0.28068,0.78768,0.05253,0.22011,0.03108,0.01429,0.55736,2164.73,0.52463,6.61084e-05,6.61084e-05,6.61084e-05
91,16942.3,0.17858,0.25046,0.77256,0.06471,0.30789,0.03761,0.02028,0.57255,2364.91,0.53285,6.0604e-05,6.0604e-05,6.0604e-05
92,17126.9,0.16665,0.24112,0.77597,0.08756,0.37311,0.07816,0.04533,0.59659,2393.56,0.54937,5.50996e-05,5.50996e-05,5.50996e-05
93,17311.1,0.16131,0.23603,0.77371,0.06958,0.32034,0.04985,0.03077,0.56786,2242.13,0.52605,4.95952e-05,4.95952e-05,4.95952e-05
94,17495.6,0.15987,0.22611,0.7781,0.0802,0.3447,0.05355,0.03228,0.57341,2503.28,0.52983,4.40908e-05,4.40908e-05,4.40908e-05
95,17680.4,0.15395,0.21994,0.77222,0.07964,0.35705,0.05275,0.03165,0.57324,2427.14,0.52653,3.85864e-05,3.85864e-05,3.85864e-05
96,17865,0.15731,0.22264,0.77446,0.07806,0.32713,0.04868,0.0292,0.57061,2463.8,0.52802,3.3082e-05,3.3082e-05,3.3082e-05
97,18049.3,0.15472,0.2241,0.77485,0.07521,0.31512,0.0471,0.02858,0.5662,2421.33,0.52243,2.75776e-05,2.75776e-05,2.75776e-05
98,18233.2,0.15365,0.21985,0.77417,0.07827,0.33187,0.05523,0.03292,0.57361,2469.08,0.52687,2.20732e-05,2.20732e-05,2.20732e-05
99,18416.5,0.14866,0.21477,0.77314,0.07981,0.34079,0.05594,0.03347,0.56925,2461.38,0.52624,1.65688e-05,1.65688e-05,1.65688e-05
100,18600.7,0.14767,0.20997,0.7738,0.0777,0.32409,0.05283,0.03164,0.56678,2463.94,0.52453,1.10644e-05,1.10644e-05,1.10644e-05
